entry_ts,exit_ts,side,qty,entry,exit,pnl,gross,reason,bars_held,regime
2025-10-14 13:10:00+05:30,2025-10-14 13:15:00+05:30,BUY,2,56255.65,56280.200000000004,696.5000000000873,736.5000000000873,TIME,5,RANGE
2025-10-20 12:25:00+05:30,2025-10-20 12:34:00+05:30,BUY,2,58131.25,58174.1,1245.4999999999563,1285.4999999999563,TARGET,9,RANGE
2025-10-24 11:32:00+05:30,2025-10-24 11:44:00+05:30,BUY,2,57767.549999999996,57815.9,1410.5000000001746,1450.5000000001746,TIME,12,CHOP
2025-10-29 14:09:00+05:30,2025-10-29 14:16:00+05:30,BUY,2,58372.2,58410.65,1113.500000000131,1153.500000000131,TARGET,7,RANGE
2025-10-30 11:15:00+05:30,2025-10-30 11:37:00+05:30,SELL,2,58242.35,58190.7,1509.5000000000437,1549.5000000000437,TIME,22,RANGE
2025-11-06 13:52:00+05:30,2025-11-06 14:09:00+05:30,BUY,2,57602.2,57655.15,1548.500000000131,1588.500000000131,TARGET,17,RANGE
2025-11-13 13:55:00+05:30,2025-11-13 14:07:00+05:30,BUY,2,58547.95,58425.55,-3711.9999999998254,-3671.9999999998254,TIME,12,RANGE
2025-11-19 14:05:00+05:30,2025-11-19 14:24:00+05:30,SELL,2,59040.450000000004,59144.4,-3158.4999999999127,-3118.4999999999127,TIME,19,TREND
2025-11-28 10:18:00+05:30,2025-11-28 10:33:00+05:30,BUY,2,59660.15,59733.200000000004,2151.5000000000873,2191.5000000000873,TARGET,15,CHOP
2025-12-05 13:55:00+05:30,2025-12-05 14:06:00+05:30,BUY,2,59690.85,59663.05,-873.999999999869,-833.999999999869,TIME,11,CHOP
2025-12-23 11:34:00+05:30,2025-12-23 11:49:00+05:30,BUY,2,59287.15,59242.1,-1391.5000000000873,-1351.5000000000873,TIME,15,RANGE
2025-12-24 12:44:00+05:30,2025-12-24 12:52:00+05:30,BUY,2,59320.1,59318.4,-90.99999999991269,-50.99999999991269,TIME,8,RANGE
2026-02-05 12:14:00+05:30,2026-02-05 12:31:00+05:30,BUY,2,60016.1,60014.05,-101.49999999986903,-61.49999999986903,TIME,17,CHOP
2026-02-11 11:10:00+05:30,2026-02-11 11:22:00+05:30,BUY,2,60606.9,60645.0,1102.9999999999563,1142.9999999999563,TIME,12,RANGE
2026-02-18 12:15:00+05:30,2026-02-18 12:22:00+05:30,SELL,2,61284.5,61273.2,299.0000000000873,339.0000000000873,TIME,7,RANGE
2026-03-04 10:24:00+05:30,2026-03-04 10:37:00+05:30,SELL,2,58723.700000000004,58603.15,3576.5000000000873,3616.5000000000873,TARGET,13,CHOP
2026-03-12 11:59:00+05:30,2026-03-12 12:09:00+05:30,SELL,2,55174.0,55144.2,854.0000000000873,894.0000000000873,TIME,10,RANGE
2026-03-13 12:04:00+05:30,2026-03-13 12:34:00+05:30,BUY,2,54076.2,53833.9,-7308.999999999869,-7268.999999999869,TIME,30,CHOP
2026-03-16 14:13:00+05:30,2026-03-16 14:35:00+05:30,SELL,2,53776.200000000004,54263.25,-14651.499999999869,-14611.499999999869,TIME,22,RANGE
2026-03-20 11:23:00+05:30,2026-03-20 11:29:00+05:30,SELL,2,54201.55,54113.75,2594.0000000000873,2634.0000000000873,TARGET,6,CHOP
2026-03-20 13:43:00+05:30,2026-03-20 13:50:00+05:30,BUY,2,53810.549999999996,53713.25,-2958.999999999869,-2918.999999999869,TIME,7,RANGE
2026-03-23 12:26:00+05:30,2026-03-23 12:42:00+05:30,BUY,2,51613.45,51761.35,4397.000000000044,4437.000000000044,TARGET,16,RANGE
2026-04-02 10:50:00+05:30,2026-04-02 10:57:00+05:30,BUY,2,49998.549999999996,50095.9,2880.5000000001746,2920.5000000001746,TARGET,7,RANGE
2026-04-08 10:32:00+05:30,2026-04-08 10:42:00+05:30,SELL,2,55319.1,55315.85,57.5,97.5,TIME,10,TREND
2026-04-08 13:38:00+05:30,2026-04-08 13:55:00+05:30,SELL,2,55509.35,55426.6,2442.5,2482.5,TARGET,17,RANGE
2026-04-20 11:12:00+05:30,2026-04-20 11:22:00+05:30,BUY,2,56934.1,56985.200000000004,1493.0000000001746,1533.0000000001746,TARGET,10,CHOP
