TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-08,2026-05-08,FO,NSE,STO,83333,,ABCAPITAL,,2026-05-26,2026-05-26,345.00,CE,ABCAPITAL26MAY345CE,26.95,27.05,23.25,23.75,23.25,29.50,362.95,23.75,269700,-6200,15,17261110.00,15,F1,3100,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,83329,,ABCAPITAL,,2026-05-26,2026-05-26,325.00,CE,ABCAPITAL26MAY325CE,0.00,0.00,0.00,46.90,46.90,46.90,362.95,40.50,49600,0,0,0.00,0,F1,3100,,,,,
2026-05-08,2026-05-08,FO,NSE,STF,62333,,ABCAPITAL,,2026-06-30,2026-06-30,,,ABCAPITAL26JUNFUT,371.30,371.40,365.55,366.20,366.00,373.00,362.95,366.20,933100,43400,86,98053000.00,80,F1,3100,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,83370,,ABCAPITAL,,2026-06-30,2026-06-30,310.00,PE,ABCAPITAL26JUN310PE,0.00,0.00,0.00,29.90,0.00,29.90,362.95,3.80,0,0,0,0.00,0,F1,3100,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,41178,,ABCAPITAL,,2026-05-26,2026-05-26,405.00,PE,ABCAPITAL26MAY405PE,0.00,0.00,0.00,66.75,0.00,66.75,362.95,42.95,0,0,0,0.00,0,F1,3100,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,76147,,ABCAPITAL,,2026-05-26,2026-05-26,370.00,PE,ABCAPITAL26MAY370PE,12.20,14.75,11.45,14.25,14.75,10.85,362.95,14.25,964100,15500,304,360851005.00,299,F1,3100,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,83338,,ABCAPITAL,,2026-05-26,2026-05-26,365.00,PE,ABCAPITAL26MAY365PE,9.50,11.85,9.50,11.30,11.85,8.65,362.95,11.30,396800,-65100,337,392333985.00,316,F1,3100,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,76069,,ABCAPITAL,,2026-05-26,2026-05-26,320.00,PE,ABCAPITAL26MAY320PE,0.70,0.90,0.65,0.80,0.80,0.60,362.95,0.80,1106700,31000,55,54689115.00,52,F1,3100,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,65602,,ABCAPITAL,,2026-06-30,2026-06-30,335.00,CE,ABCAPITAL26JUN335CE,0.00,0.00,0.00,26.05,0.00,26.05,362.95,40.50,0,0,0,0.00,0,F1,3100,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,65752,,ABCAPITAL,,2026-07-28,2026-07-28,380.00,CE,ABCAPITAL26JUL380CE,0.00,0.00,0.00,14.25,0.00,14.25,362.95,22.75,0,0,0,0.00,0,F1,3100,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,76057,,ABCAPITAL,,2026-05-26,2026-05-26,260.00,PE,ABCAPITAL26MAY260PE,0.00,0.00,0.00,0.40,0.40,0.40,362.95,0.00,34100,0,0,0.00,0,F1,3100,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,65629,,ABCAPITAL,,2026-06-30,2026-06-30,415.00,PE,ABCAPITAL26JUN415PE,0.00,0.00,0.00,76.50,0.00,76.50,362.95,55.45,0,0,0,0.00,0,F1,3100,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,83384,,ABCAPITAL,,2026-06-30,2026-06-30,380.00,PE,ABCAPITAL26JUN380PE,0.00,0.00,0.00,84.25,0.00,84.25,362.95,30.35,0,0,0,0.00,0,F1,3100,,,,,
2026-05-08,2026-05-08,FO,NSE,STO,83335,,ABCAPITAL,,2026-05-26,2026-05-26,355.00,CE,ABCAPITAL26MAY355CE,19.50,19.60,15.60,16.30,15.60,20.85,362.95,16.30,328600,0,59,68153500.00,59,F1,3100,,,,,
