TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-08,2026-05-08,FO,NSE,IDF,66068,,BANKNIFTY,,2026-05-26,2026-05-26,,,BANKNIFTY26MAYFUT,56189.8,56189.8,55300.0,55515.8,55500.8,56291.2,55310.55,55515.8,2316570,134250,30080,50213027106.0,20618,F1,30,,,,,
2026-05-08,2026-05-08,FO,NSE,IDF,61088,,BANKNIFTY,,2026-07-28,2026-07-28,,,BANKNIFTY26JULFUT,56500.2,56500.2,55863.6,56062.6,56045.0,56800.0,55310.55,56062.6,44490,10530,1113,1876057200.0,945,F1,30,,,,,
2026-05-08,2026-05-08,FO,NSE,IDF,62326,,BANKNIFTY,,2026-06-30,2026-06-30,,,BANKNIFTY26JUNFUT,56624.6,56624.6,55511.0,55720.0,55710.0,56480.4,55310.55,55720.0,298020,25080,2637,4418496012.0,2044,F1,30,,,,,
2026-05-08,2026-05-08,FO,NSE,IDF,66072,,NIFTYNXT50,,2026-05-26,2026-05-26,,,NIFTYNXT5026MAYFUT,72000.0,72124.4,71601.4,71708.2,71793.8,72145.0,71495.6,71708.2,18300,150,150,269410500.0,131,F1,25,,,,,
2026-05-08,2026-05-08,FO,NSE,IDF,61094,,NIFTYNXT50,,2026-07-28,2026-07-28,,,NIFTYNXT5026JULFUT,0.0,0.0,0.0,71596.0,0.0,71596.0,71495.6,72505.4,0,0,0,0.0,0,F1,25,,,,,
2026-05-08,2026-05-08,FO,NSE,IDF,62330,,NIFTYNXT50,,2026-06-30,2026-06-30,,,NIFTYNXT5026JUNFUT,72230.2,72392.2,72005.2,72132.0,72194.6,72573.0,71495.6,72132.0,1225,300,21,37878500.0,19,F1,25,,,,,
2026-05-08,2026-05-08,FO,NSE,IDF,61093,,NIFTY,,2026-07-28,2026-07-28,,,NIFTY26JULFUT,24532.1,24535.6,24403.5,24477.1,24475.0,24620.3,24176.15,24477.1,289965,32240,2148,3416032600.5,1439,F1,65,,,,,
2026-05-08,2026-05-08,FO,NSE,IDF,66071,,NIFTY,,2026-05-26,2026-05-26,,,NIFTY26MAYFUT,24290.0,24294.8,24160.0,24234.6,24228.7,24382.8,24176.15,24234.6,17079075,264095,59877,94314540567.0,35234,F1,65,,,,,
2026-05-08,2026-05-08,FO,NSE,IDF,62329,,NIFTY,,2026-06-30,2026-06-30,,,NIFTY26JUNFUT,24411.1,24411.1,24273.0,24339.2,24343.0,24491.7,24176.15,24339.2,1841125,55510,4556,7208051298.5,3488,F1,65,,,,,
2026-05-08,2026-05-08,FO,NSE,IDF,62327,,FINNIFTY,,2026-06-30,2026-06-30,,,FINNIFTY26JUNFUT,0.0,0.0,0.0,23950.8,0.0,23950.8,26011.5,26251.3,0,0,0,0.0,0,F1,60,,,,,
2026-05-08,2026-05-08,FO,NSE,IDF,66069,,FINNIFTY,,2026-05-26,2026-05-26,,,FINNIFTY26MAYFUT,26407.6,26431.2,26064.0,26111.4,26080.0,26567.5,26011.5,26111.4,31320,1980,166,261347916.0,156,F1,60,,,,,
2026-05-08,2026-05-08,FO,NSE,IDF,61091,,FINNIFTY,,2026-07-28,2026-07-28,,,FINNIFTY26JULFUT,0.0,0.0,0.0,26315.3,0.0,26315.3,26011.5,26378.9,0,0,0,0.0,0,F1,60,,,,,
2026-05-08,2026-05-08,FO,NSE,IDF,61092,,MIDCPNIFTY,,2026-07-28,2026-07-28,,,MIDCPNIFTY26JULFUT,14650.0,14683.25,14587.0,14616.05,14606.55,14674.55,14491.75,14616.05,6600,1200,21,36855354.0,21,F1,120,,,,,
2026-05-08,2026-05-08,FO,NSE,IDF,66070,,MIDCPNIFTY,,2026-05-26,2026-05-26,,,MIDCPNIFTY26MAYFUT,14570.0,14639.5,14500.15,14551.15,14555.45,14611.05,14491.75,14551.15,2253120,-87840,3078,5378927706.0,2617,F1,120,,,,,
2026-05-08,2026-05-08,FO,NSE,IDF,62328,,MIDCPNIFTY,,2026-06-30,2026-06-30,,,MIDCPNIFTY26JUNFUT,14586.5,14665.0,14545.05,14593.85,14574.1,14638.6,14491.75,14593.85,73080,4920,281,492565368.0,211,F1,120,,,,,
